text_preview,gold,predicted,action,reason,is_rule_accept,is_complexity_defer,is_tag_policy_defer,confidence,margin,correct,primary_tag,active_tags
пломба большая треснула зуб крошится вчера орехом ударил теперь вкладку хочу,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.8377,0.7425,True,simple_symptom,simple_symptom
на жевательном зубе дырка огромная врач раньше говорил вкладку ставить а я тянул,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.6576,0.4957,True,unclassified,
давно пломба старая держится на соплях надо нормальную вкладку поставить чтоб не,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.7269,0.5944,True,simple_symptom,simple_symptom
кусок зуба откололся от конфеты твердой теперь боюсь жевать хочу вкладку аккурат,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.8215,0.7355,True,unclassified,
подскажите про вкладку на зуб,anamnesis,anamnesis,defer,sparse_dense_disagree,False,False,False,0.3805,0.0941,False,unclassified,
интересует поставить вкладку,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.7597,0.6493,True,unclassified,
делаете синус лифтинг,anamnesis,faq,defer,low_confidence,False,False,False,0.5684,0.3079,False,unclassified,
синус лифтинг чё,anamnesis,unsupported,defer,sparse_dense_disagree,False,False,False,0.4784,0.2036,False,unclassified,
нужен синуслифтинг,anamnesis,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
врач сказал синус лифтинг перед имплантом наверху надо расскажи как проходит,anamnesis,faq,defer,low_confidence,False,False,False,0.5471,0.2901,False,unclassified,
верхняя челюсть кости мало для импланта синус лифтинг поможет или нет,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.602,0.2819,True,unclassified,
читал в инете про синус лифтинг для зубов сверху планирую ставить импланты,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.5586,0.1704,True,unclassified,
друг делал синуслифтинг теперь жуёт нормально у вас такая процедура есть,anamnesis,faq,defer,faq_anamnesis_borderline,False,False,False,0.3761,0.0622,False,unclassified,
подскажите про синус лифтинг,anamnesis,faq,defer,low_confidence,False,False,False,0.4465,0.1958,False,unclassified,
синус-лифтинг интересует,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.6985,0.5463,True,unclassified,
хочу узнать синуслифтинг,anamnesis,anamnesis,accept,anamnesis_confident,False,False,False,0.5233,0.3563,True,unclassified,
скока элайнеры,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
элайнеры цена чё,faq,,defer,tag_policy:simple_faq,False,False,True,0.7396,0.6022,False,simple_faq,simple_faq
почём элайнеры,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
сыну 14 лет кривые зубы элайнеры лучше брекетов скока комплект стоит,faq,faq,accept,general_confident,False,False,False,0.8248,0.7161,True,unclassified,
вчера увидела рекламу элайнеров для взрослых но не знаю цену у вас какая примерн,faq,,defer,tag_policy:simple_faq,False,False,True,0.647,0.4771,False,simple_faq,simple_faq
на работе заметили кривизну хочу элайнеры поставить посоветуйте цену за курс,faq,faq,defer,low_confidence,False,False,False,0.4847,0.252,False,simple_faq,simple_faq
друг сделал элайнеры теперь я думаю скока у вас полный комплект выйдет деньгами,faq,faq,accept,general_confident,False,False,False,0.63,0.413,True,unclassified,
сколько стоят элайнеры,faq,faq,accept,general_confident,False,False,False,0.7949,0.6824,True,simple_faq,simple_faq
демин ещё есть?,faq,faq,defer,low_confidence,False,False,False,0.6053,0.4467,False,unclassified,
демин работает?,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
у вас демин?,faq,faq,accept,general_confident,False,False,False,0.6353,0.3884,True,unclassified,
лечилась у демина год назад понравилось демин щас принимает у вас?,faq,faq,defer,low_confidence,False,False,False,0.5332,0.3219,False,unclassified,
ребёнку ставили у демина всё ок теперь опять нужен демин ещё работает?,faq,unsupported,defer,sparse_dense_disagree,False,False,False,0.4107,0.0316,False,unclassified,
слышал демин ушёл правда ли демин продолжает у вас работать?,faq,faq,accept,general_confident,False,False,False,0.6493,0.4535,True,unclassified,
на работе посоветовали демина раньше был у вас демин не сменил клинику?,faq,faq,defer,low_confidence,False,False,False,0.4304,0.0364,False,unclassified,
демин ещё принимает у вас,faq,faq,accept,general_confident,False,False,False,0.7214,0.5909,True,unclassified,
работает ли демин в вашей клинике,faq,faq,accept,general_confident,False,False,False,0.8026,0.6493,True,unclassified,
доктор демин у вас ещё?,faq,faq,defer,low_confidence,False,False,False,0.4796,0.0566,False,unclassified,
пародонтолог есть,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
у вас паронтолог,faq,faq,accept,general_confident,False,False,False,0.6597,0.4764,True,unclassified,
чё пародонтолог имеется,faq,faq,defer,low_confidence,False,False,False,0.4824,0.2614,False,unclassified,
друг сказал идти к пародонтологу в вашу клинику такой доктор работает,faq,faq,defer,low_confidence,False,False,False,0.6249,0.3675,False,unclassified,
для мамы нужен специалист пародонтолог у вас есть такой врач или нет,faq,faq,accept,general_confident,False,False,False,0.7234,0.5364,True,unclassified,
на работе коллега хвалил вашего пародонтолога правда он есть,faq,faq,defer,sparse_dense_disagree,False,False,False,0.5951,0.4104,False,unclassified,
слышала про лечение десен у вас пародонтолог принимает пациентов,faq,faq,accept,general_confident,False,False,False,0.7573,0.6345,True,unclassified,
есть пародонтолог у вас,faq,faq,accept,general_confident,False,False,False,0.7243,0.6134,True,unclassified,
работает пародонтолог,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
подскажите про пародонтолога,faq,faq,defer,low_confidence,False,False,False,0.539,0.361,False,unclassified,
коновская принимает,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
конновская есть,faq,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
к конновской можно,faq,faq,defer,sparse_dense_disagree,False,False,False,0.3594,0.0734,False,unclassified,
раньше ходила к конновской она ещё у вас работает,faq,faq,defer,low_confidence,False,False,False,0.4334,0.0437,False,unclassified,
муж хочет только к конновской она принимает по вечерам,faq,faq,defer,sparse_dense_disagree,False,False,False,0.566,0.3755,False,unclassified,
дочке понравилась конновская ведёт она приём сейчас,faq,unsupported,defer,sparse_dense_disagree,False,False,False,0.3693,0.1141,False,simple_booking,simple_booking
на работе слышал про конновскую у вас она есть,faq,faq,defer,sparse_dense_disagree,False,False,False,0.469,0.2292,False,unclassified,
конновская ведёт приём,faq,booking,defer,low_confidence,False,False,False,0.3931,0.1476,False,simple_booking,simple_booking
конновская работает у вас,faq,faq,defer,low_confidence,False,False,False,0.6103,0.333,False,unclassified,
принимает ли коновская,faq,faq,accept,general_confident,False,False,False,0.7341,0.6185,True,unclassified,
демин чё спец,faq,unsupported,defer,sparse_dense_disagree,False,False,False,0.7506,0.6277,False,unclassified,
какой демин врач,faq,faq,defer,low_confidence,False,False,False,0.5399,0.1378,False,unclassified,
ребёнку зубы лечить демин детский берёт или только взрослых,faq,faq,accept,general_confident,False,False,False,0.7717,0.6166,True,unclassified,
муж хочет к демину а мы не знаем чем он занимается подскажите,faq,faq,defer,low_confidence,False,False,False,0.4812,0.2352,False,unclassified,
читала отзывы про демина какая у него специализация точно,faq,faq,defer,sparse_dense_disagree,False,False,False,0.4486,0.0576,False,unclassified,
на работе посоветовали демина интересно на каких зубах он спец,faq,anamnesis,defer,low_confidence,False,False,False,0.3928,0.0736,False,unclassified,
подскажите чем занимается демин,faq,faq,defer,low_confidence,False,False,False,0.6108,0.4592,False,unclassified,
какая у демина специализация,faq,faq,defer,low_confidence,False,False,False,0.5685,0.2569,False,unclassified,
демин какой профиль,faq,faq,defer,low_confidence,False,False,False,0.4514,0.1272,False,unclassified,
зписаться к конновской,booking,booking,defer,low_confidence,False,False,False,0.5594,0.3768,False,unclassified,
к конновской срочно,booking,booking,defer,low_confidence,False,False,False,0.2971,0.0004,False,unclassified,
конновская есть?,booking,,defer,complexity:short_ambiguous,False,True,False,0.0,0.0,False,short_ambiguous,short_ambiguous
на работе только вечером могу к конновской запишитесь пожалуйста на завтра,booking,booking,accept,general_confident,False,False,False,0.9108,0.8632,True,simple_booking,simple_booking
ребёнку 7 лет зуб ноет хочу к конновской записать на эту неделю,booking,,defer,complexity:mixed_intent,False,True,False,0.0,0.0,False,mixed_intent,mixed_intent;symptom_booking
в понедельник утром к конновской есть место? вчера пломбу потерял,booking,booking,defer,low_confidence,False,False,False,0.3709,0.0851,False,unclassified,
можно записаться к конновской,booking,booking,accept,general_confident,False,False,False,0.8733,0.8186,True,simple_booking,simple_booking
хочу к конновской на приём,booking,booking,accept,general_confident,False,False,False,0.7611,0.6709,True,simple_booking,simple_booking
подскажите время к конновской,booking,faq,defer,sparse_dense_disagree,False,False,False,0.3954,0.021,False,unclassified,
